2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Shareef Abdur-Rahim,Vince Carter,Ray Allen,Ray Allen,Ray Allen,Ray Allen,Carmelo Anthony,Chauncey Billups,Carmelo Anthony,Carmelo Anthony,Carmelo Anthony,LaMarcus Aldridge,LaMarcus Aldridge,Carmelo Anthony,Carmelo Anthony,DeMarcus Cousins,Giannis Antetokounmpo,LaMarcus Aldridge,Devin Booker,Bradley Beal
Ray Allen,Zydrunas Ilgauskas,Kobe Bryant,Kobe Bryant,Elton Brand,Carmelo Anthony,Carlos Boozer,Kobe Bryant,Chauncey Billups,Kobe Bryant,Chris Bosh,Kobe Bryant,Kobe Bryant,Chris Bosh,Chris Bosh,Stephen Curry,Jimmy Butler,Bradley Beal,Anthony Davis,Devin Booker
Vince Carter,Allen Iverson,Sam Cassell,Tim Duncan,Kobe Bryant,Carlos Boozer,Kobe Bryant,Tim Duncan,Kobe Bryant,Tim Duncan,Luol Deng,Tim Duncan,Stephen Curry,Jimmy Butler,Jimmy Butler,Anthony Davis,Stephen Curry,Anthony Davis,Luka Doncic,Mike Conley
Baron Davis,Michael Jordan,Tim Duncan,Kevin Garnett,Tim Duncan,Kobe Bryant,Tim Duncan,Pau Gasol,Tim Duncan,Kevin Durant,Roy Hibbert,Kevin Durant,Anthony Davis,Pau Gasol,DeMar DeRozan,Kevin Durant,DeMar DeRozan,Kevin Durant,James Harden,Kevin Durant
Allen Iverson,Jason Kidd,Steve Francis,Manu Ginobili,Kevin Garnett,Tim Duncan,Allen Iverson,Yao Ming,Kevin Durant,Pau Gasol,Dwight Howard,Blake Griffin,Kevin Durant,Al Horford,Andre Drummond,Marc Gasol,Joel Embiid,James Harden,LeBron James,Joel Embiid
Michael Jordan,Jamal Mashburn,Kevin Garnett,Rashard Lewis,Pau Gasol,Kevin Garnett,Yao Ming,Dirk Nowitzki,Pau Gasol,Manu Ginobili,Andre Iguodala,James Harden,Blake Griffin,Kyrie Irving,Pau Gasol,Draymond Green,Draymond Green,Kyrie Irving,Nikola Jokic,James Harden
Jason Kidd,Tracy McGrady,Andrei Kirilenko,Shawn Marion,Shawn Marion,Josh Howard,Steve Nash,Shaquille O'Neal,Chris Kaman,Blake Griffin,LeBron James,Dwight Howard,James Harden,LeBron James,Paul George,James Harden,James Harden,LeBron James,Kawhi Leonard,Kyrie Irving
Tracy McGrady,Brad Miller,Brad Miller,Tracy McGrady,Tracy McGrady,Allen Iverson,Dirk Nowitzki,Tony Parker,Jason Kidd,Kevin Love,Joe Johnson,David Lee,Dwight Howard,Kyle Korver,Al Horford,Gordon Hayward,Al Horford,Kawhi Leonard,Damian Lillard,Zach LaVine
Alonzo Mourning,Jermaine O'Neal,Yao Ming,Yao Ming,Yao Ming,Shawn Marion,Chris Paul,Chris Paul,Steve Nash,Yao Ming,Paul Pierce,Tony Parker,Damian Lillard,Kyle Lowry,LeBron James,DeAndre Jordan,Damian Lillard,Damian Lillard,Chris Paul,Kawhi Leonard
Dikembe Mutombo,Paul Pierce,Dirk Nowitzki,Steve Nash,Steve Nash,Tracy McGrady,Brandon Roy,Brandon Roy,Dirk Nowitzki,Dirk Nowitzki,Rajon Rondo,Chris Paul,Kevin Love,Paul Millsap,Kyle Lowry,Kawhi Leonard,Kyle Lowry,Ben Simmons,Domantas Sabonis,Donovan Mitchell
